NO	기업명	기업코드	ESG등급	지배구조	사회	환경	평가년도	비고
5369	모나미	5360	B이하	B	B이하	B이하	2018	
5368	모토닉	9680	B이하	B	B이하	B이하	2018	
5367	무림P&P	9580	B이하	B	B이하	B+	2018	
5366	무림페이퍼	9200	B이하	B	B이하	B+	2018	
5365	무학	33920	B이하	B	B이하	B이하	2018	
5364	문배철강	8420	B이하	B	B이하	B이하	2018	
5363	미래산업	25560	B이하	B	B이하	B이하	2018	
5362	미래아이앤지	7120	B이하	C	B이하	B이하	2018	
5361	미래에셋대우	6800	B이하	B+이하	B+	B이하	2018	금융회사
5360	미래에셋생명	85620	B이하	B	B+	B이하	2018	금융회사
5359	미원상사	2840	B이하	B+	B이하	B이하	2018	
5358	미원홀딩스	107590	B이하	B	B이하	B이하	2018	
5357	미원화학	134380	B이하	C	B이하	B이하	2018	
5356	미창석유공업	3650	B이하	B	B이하	B이하	2018	
5355	방림	3610	B이하	B	B이하	B+	2018	
5354	백광산업	1340	B이하	C	B이하	B+	2018	
5353	백광소재	14580	B이하	C	B이하	B이하	2018	
5352	백산	35150	B이하	C	B이하	B이하	2018	
5351	범양건영	2410	B이하	C	B이하	B이하	2018	
5350	벽산	7210	B이하	C	B이하	B+	2018	
5349	보락	2760	B이하	B	B이하	B이하	2018	
5348	보령제약	3850	B이하	C	B이하	B이하	2018	
5347	보해양조	890	B이하	B	B이하	B이하	2018	
5346	부광약품	3000	B이하	B	B이하	B이하	2018	
5345	부국증권	1270	B이하	C	B이하	B이하	2018	금융회사
5344	부국철강	26940	B이하	B	B이하	B이하	2018	
5343	부산도시가스	15350	B이하	B	A	B이하	2018	
5342	부산산업	11390	B이하	C	B이하	B이하	2018	
5341	부산주공	5030	B이하	C	B이하	B이하	2018	
5340	비상교육	100220	B이하	B	B이하	B이하	2018	
5339	빙그레	5180	B+	B+	A	B+	2018	
5338	사조대림	3960	B이하	C	B이하	B이하	2018	
5337	사조동아원	8040	B이하	B	B이하	B이하	2018	
5336	사조산업	7160	B이하	C	B이하	B이하	2018	
5335	사조씨푸드	14710	B이하	B	B이하	B이하	2018	
5334	사조오양	6090	B이하	B	B이하	B이하	2018	
5333	사조해표	79660	B이하	C	B이하	B이하	2018	
5332	삼광글라스	5090	B이하	C	B이하	B이하	2018	
5331	삼성SDI	6400	A	B+	A	A	2018	
5330	삼성공조	6660	B이하	B	B이하	B이하	2018	
5329	삼성물산	28260	A	A	A	A+	2018	
5328	삼성바이오로직스	207940	B+	B	A	B이하	2018	
5327	삼성생명	32830	B+	B+이하	B+	A	2018	금융회사
5326	삼성에스디에스	18260	B+	B+	A	B+	2018	
5325	삼성엔지니어링	28050	A	A	A+	A	2018	
5324	삼성전기	9150	A	A	A+	A	2018	
5323	삼성전자	5930	B+	B+	B+	A	2018	
5322	삼성제약	1360	B이하	C	B이하	B이하	2018	
5321	삼성중공업	10140	B+	B	B이하	A	2018	
5320	삼성증권	16360	B이하	B+이하	A	B이하	2018	금융회사
5319	삼성출판사	68290	B이하	B	B이하	B이하	2018	
5318	삼성카드	29780	B이하	B+이하	B이하	B이하	2018	금융회사
5317	삼성화재해상보험	810	A	B+이하	A+	A+	2018	금융회사
5316	삼아알미늄	6110	B이하	B	B이하	B이하	2018	
5315	삼양사	145990	B+	B	B+	B+	2018	
5314	삼양식품	3230	B이하	D	B이하	B이하	2018	
5313	삼양통상	2170	B이하	C	B이하	B+	2018	
5312	삼양홀딩스	70	B이하	B	B+	B이하	2018	
5311	삼영무역	2810	B이하	C	B이하	B이하	2018	
5310	삼영전자공업	5680	B이하	B	B이하	B+	2018	
5309	삼영화학공업	3720	B이하	B	B이하	B+	2018	
5308	삼원강재	23000	B이하	B	B이하	B+	2018	
5307	삼익THK	4380	B이하	B	B이하	B이하	2018	
5306	삼익악기	2450	B이하	C	B이하	B이하	2018	
5305	삼일제약	520	B이하	B	B이하	B이하	2018	
5304	삼정펄프	9770	B이하	C	B이하	B이하	2018	
5303	삼진제약	5500	B이하	B	B+	B이하	2018	
5302	삼천리	4690	B+	B+	B+	B+	2018	
5301	삼호	1880	B이하	B	B이하	B이하	2018	
5300	삼호개발	10960	B이하	C	B이하	B이하	2018	
5299	삼화왕관	4450	B이하	B	B이하	B이하	2018	
5298	삼화전기	9470	B이하	B	B이하	B이하	2018	
5297	삼화전자공업	11230	B이하	C	B이하	B이하	2018	
5296	삼화콘덴서공업	1820	B이하	B	B이하	B이하	2018	
5295	삼화페인트공업	390	B+	B+	B+	B+	2018	
5294	상신브레이크	41650	B이하	B	B이하	B이하	2018	
5293	새론오토모티브	75180	B이하	B	B이하	B+	2018	
5292	샘표	7540	B이하	B	B이하	B이하	2018	
5291	샘표식품	248170	B+	B	B+	B+	2018	
5290	서연	7860	B이하	B	B이하	B이하	2018	
5289	서연이화	200880	B+	B+	B+	B이하	2018	
5288	서울도시가스	17390	B이하	B	B이하	B이하	2018	
5287	서울보증보험	813002		B+이하			2018	금융회사
5286	서울식품공업	4410	B이하	B	B이하	B이하	2018	
5285	서원	21050	B이하	B	B이하	B+	2018	
5284	서흥	8490	B이하	B	B이하	B이하	2018	
5283	선도전기	7610	B이하	B	B이하	B이하	2018	
5282	선진	136490	B이하	B+	B이하	B이하	2018	
5281	선창산업	2820	B이하	C	B이하	B이하	2018	
5280	성문전자	14910	B이하	C	B이하	B이하	2018	
5279	성보화학	3080	B이하	B	B이하	B이하	2018	
5278	성신양회	4980	B이하	B	B이하	B+	2018	
5277	성안	11300	B이하	C	B이하	B이하	2018	
5276	성지건설	5980	B이하	D	B이하	B이하	2018	
5275	성창기업지주	180	B이하	C	B이하	B이하	2018	
5274	세기상사	2420	B이하	B	B이하	B이하	2018	
5273	세방	4360	B이하	B+	B이하	B이하	2018	
5272	세방전지	4490	B이하	C	B이하	B+	2018	
5271	세아베스틸	1430	B이하	C	B+	B+	2018	
5270	세아제강	3030	B이하	C	B이하	B+	2018	
5269	세아특수강	19440	B이하	B	B이하	B+	2018	
5268	세아홀딩스	58650	B이하	C	B이하	B이하	2018	
5267	세우글로벌	13000	B이하	C	B이하	B이하	2018	
5266	세원셀론텍	91090	B이하	C	B이하	B이하	2018	
5265	세원정공	21820	B이하	B	B이하	B이하	2018	
5264	세이브존I&C	67830	B이하	C	B이하	B이하	2018	
5263	세종공업	33530	B이하	C	B이하	B이하	2018	
5262	세진중공업	75580	B이하	B	B이하	B이하	2018	
5261	세하	27970	B이하	B	B이하	B+	2018	
5260	세화아이엠씨	145210	B이하	D	B이하	B이하	2018	
5259	셀트리온	68270	B이하	B	B이하	B이하	2018	
5258	송원산업	4430	B이하	D	B이하	B+	2018	
5257	수산중공업	17550	B이하	B	B이하	B이하	2018	
5256	시디즈	134790	B이하	B	B이하	B이하	2018	
5255	신대양제지	16590	B이하	D	B이하	B이하	2018	
5254	신도리코	29530	B이하	B+	B이하	B이하	2018	
5253	신라교역	4970	B이하	C	B이하	B이하	2018	
5252	신성이엔지	11930	B이하	C	B이하	B이하	2018	
5251	신성통상	5390	B이하	C	B이하	B이하	2018	
5250	신세계	4170	B+	B	A+	B+	2018	
5249	신세계I&C	35510	B이하	B	A	B이하	2018	
5248	신세계건설	34300	B+	B+	B+	B이하	2018	
5247	신세계인터내셔날	31430	B+	B+	B+	B이하	2018	
5246	신세계푸드	31440	B이하	C	B이하	B이하	2018	
5245	신송홀딩스	6880	B이하	B	B이하	B이하	2018	
5244	신영와코루	5800	B이하	D	B이하	B이하	2018	
5243	신영증권	1720	B이하	B+	B이하	B이하	2018	금융회사
5242	신원	9270	B이하	C	B이하	B이하	2018	
5241	신일산업	2700	B이하	B	B이하	B이하	2018	
5240	신풍제약	19170	B이하	B	B이하	B이하	2018	
5239	신풍제지	2870	B이하	B	B이하	B+	2018	
5238	신한	5450	B이하	D	B이하	B이하	2018	
5237	신한생명보험	828992		B+이하			2018	금융회사
5236	신한지주	55550	A+	A+	A	A+	2018	금융회사
5235	신화실업	1770	B이하	C	B이하	B이하	2018	
5234	신흥	4080	B이하	B+	B이하	B이하	2018	
5233	쌍방울	102280	B이하	C	B이하	B이하	2018	
5232	쌍용양회공업	3410	A	B+	A	A	2018	
5231	쌍용자동차	3620	B+	B+	B+	B이하	2018	
5230	써니전자	4770	B이하	B	B이하	B이하	2018	
5229	씨아이테크	4920	B이하	C	B이하	B이하	2018	
5228	씨에스윈드	112610	B이하	B+	B이하	B이하	2018	
5227	아남전자	8700	B이하	C	B이하	B이하	2018	
5226	아모레퍼시픽	90430	B+	B	A+	A	2018	
5225	아모레퍼시픽그룹	2790	A	B+	A+	A	2018	
5224	아세아	2030	B이하	C	B이하	B이하	2018	
5223	아세아시멘트	183190	B이하	C	B+	A	2018	
5222	아세아제지	2310	B이하	C	B이하	B이하	2018	
5221	아시아나항공	20560	B이하	B	B이하	B+	2018	
5220	아이마켓코리아	122900	B이하	B+	B이하	B이하	2018	
5219	아이에스동서	10780	B이하	C	B이하	B이하	2018	
5218	아이에이치큐	3560	B이하	B	B이하	B이하	2018	
5217	아주캐피탈	33660	B이하	B	B이하	B이하	2018	금융회사
5216	아티스	101140	B이하	B	B이하	B이하	2018	
5215	알루코	1780	B이하	C	B이하	B이하	2018	
5214	알보젠코리아	2250	B이하	B	B이하	B이하	2018	
5213	애경유화	161000	B이하	C	B이하	B+	2018	
5212	에넥스	11090	B이하	C	B+	B이하	2018	
5211	에스엘	5850	B이하	C	B+	B이하	2018	
5210	에스원	12750	B이하	C	B이하	B이하	2018	
5209	에스제이엠	123700	B이하	B	B이하	B이하	2018	
5208	에스제이엠홀딩스	25530	B이하	B	B이하	B이하	2018	
5207	에쓰씨엔지니어링	23960	B이하	C	B이하	B이하	2018	
5206	에이블씨엔씨	78520	B이하	D	B이하	B이하	2018	
5205	에이비엘생명보험	804337		B+이하			2018	금융회사
5204	에이엔피	15260	B이하	C	B이하	B이하	2018	
5203	에이프로젠 KIC	7460	B이하	C	B이하	B이하	2018	
5202	에이프로젠제약	3060	B이하	D	B이하	B이하	2018	
5201	엔씨소프트	36570	B이하	B+	B이하	B이하	2018	
5200	엔에스쇼핑	138250	B이하	B+	B+	B이하	2018	
5199	엔케이	85310	B이하	C	B이하	B이하	2018	
5198	엔케이물산	9810	B이하	D	B이하	B이하	2018	
5197	엔피씨	4250	B이하	B	B이하	B이하	2018	
5196	영보화학	14440	B이하	C	B이하	B이하	2018	
5195	영원무역	111770	B이하	B	B이하	B이하	2018	
5194	영원무역홀딩스	9970	B이하	C	B이하	B이하	2018	
5193	영진약품	3520	B이하	B	B이하	B이하	2018	
5192	영풍	670	B이하	B	B이하	B이하	2018	
5191	영풍제지	6740	B이하	C	B이하	B이하	2018	
5190	영화금속	12280	B이하	B	B이하	B이하	2018	
5189	영흥철강	12160	B이하	B	B이하	B+	2018	
5188	예스코홀딩스	15360	B이하	B	B+	B이하	2018	
5187	오뚜기	7310	B+	B	A	B+	2018	
5186	오렌지라이프생명보험	79440		B+이하			2018	금융회사
5185	오리엔트바이오	2630	B이하	C	B이하	B이하	2018	
5184	오리온홀딩스	1800	B이하	D	B이하	B이하	2018	
5183	용평리조트	70960	B이하	B	B이하	B이하	2018	
5182	우리들제약	4720	B이하	C	B이하	B이하	2018	
5181	우리들휴브레인	118000	B이하	C	B이하	B이하	2018	
5180	우리종금	10050	B이하	B+	B이하	B이하	2018	
5179	우리카드	879070		B+이하			2018	금융회사
5178	우성사료	6980	B이하	C	B이하	B이하	2018	
5177	우신시스템	17370	B이하	C	B이하	B이하	2018	
5176	우진	105840	B이하	B	B이하	B이하	2018	
5175	우진플라임	49800	B이하	B	B이하	B이하	2018	
5174	웅진	16880	B이하	C	B이하	B이하	2018	
5173	웅진씽크빅	95720	B이하	C	B이하	B이하	2018	
5172	웅진에너지	103130	B이하	B	B이하	B+	2018	
5171	원림	5820	B이하	C	B이하	B이하	2018	
5170	웰바이오텍	10600	B이하	C	B이하	B이하	2018	
5169	윌비스	8600	B이하	B	B이하	B이하	2018	
5168	유나이티드	33270	B이하	B	B+	B이하	2018	
5167	유니드	14830	B이하	C	B이하	B이하	2018	
5166	유니온	910	B이하	C	B이하	B이하	2018	
5165	유니온머티리얼	47400	B이하	C	B이하	B이하	2018	
5164	유니켐	11330	B이하	B+	B이하	B이하	2018	
5163	유니퀘스트	77500	B이하	B+	B이하	B이하	2018	
5162	유성기업	2920	B이하	B	B이하	B이하	2018	
5161	유수홀딩스	700	B+	B+	B+	B이하	2018	
5160	유안타증권	3470	B이하	B+	B이하	B이하	2018	금융회사
5159	유양디앤유	11690	B이하	B	B이하	B이하	2018	
5158	유엔젤	72130	B이하	C	B이하	B이하	2018	
5157	유유제약	220	B이하	B	B이하	B이하	2018	
5156	유진증권	1200	B이하	B	B이하	B이하	2018	금융회사
5155	유한양행	100	B+	B	B+	B+	2018	
5154	유화증권	3460	B이하	C	B이하	B이하	2018	금융회사
5153	율촌화학	8730	B이하	B	B이하	B이하	2018	
5152	이건산업	8250	B이하	C	B이하	B이하	2018	
5151	이구산업	25820	B+	B+	B이하	B+	2018	
5150	이노션	214320	B이하	B+	B+	B이하	2018	
5149	이마트	139480	B+	B+	B+	B+	2018	
5148	이수페타시스	7660	B이하	C	A	B+	2018	
5147	이수화학	5950	B이하	C	B+	B+	2018	
5146	이스타코	15020	B이하	C	B이하	B이하	2018	
5145	이아이디	93230	B이하	C	B이하	B이하	2018	
5144	이연제약	102460	B이하	B	B이하	B이하	2018	
5143	이월드	84680	B이하	C	B이하	B이하	2018	
5142	이화산업	760	B이하	C	B이하	B이하	2018	
5141	인디에프	14990	B이하	B	B이하	B이하	2018	
5140	인스코비	6490	B이하	C	B이하	B+	2018	
5139	인지컨트롤스	23800	B이하	D	B이하	B이하	2018	
5138	인천도시가스	34590	B이하	B	B이하	B이하	2018	
5137	인터지스	129260	B+	B+	B+	B이하	2018	
5136	인팩	23810	B이하	B	B이하	B이하	2018	
5135	일동제약	249420	B이하	C	B+	B+	2018	
5134	일동홀딩스	230	B이하	B	B+	B이하	2018	
5133	일성건설	13360	B이하	B	B이하	B이하	2018	
5132	일성신약	3120	B이하	B	B이하	B이하	2018	
5131	일신방직	3200	B이하	B	B이하	B이하	2018	
5130	일신석재	7110	B이하	C	B이하	B이하	2018	
5129	일양약품	7570	B이하	B	B이하	B이하	2018	
5128	일정실업	8500	B이하	C	B이하	B이하	2018	
5127	일진다이아	81000	B이하	C	B이하	B이하	2018	
5126	일진디스플	20760	B이하	B	B이하	B+	2018	
5125	일진머티리얼즈	20150	B이하	B	B이하	B+	2018	
5124	일진전기	103590	B이하	C	B이하	B이하	2018	
5123	일진홀딩스	15860	B이하	B	B이하	B이하	2018	
5122	잇츠한불	226320	B이하	B	B이하	B이하	2018	
5121	자화전자	33240	B이하	C	B+	B이하	2018	
5120	전방	950	B이하	C	B이하	B이하	2018	
5119	제이에스코퍼레이션	194370	B이하	B+	B이하	B이하	2018	
5118	제이준코스메틱	25620	B이하	C	B이하	B이하	2018	
5117	제일기획	30000	B이하	B+	B이하	B이하	2018	
5116	제일연마	1560	B이하	B	B이하	B이하	2018	
5115	제일파마홀딩스	2620	B이하	B	B이하	B이하	2018	
5114	제주은행	6220	B+	A	B+	B이하	2018	금융회사
5113	제주항공	89590	B이하	B+	B이하	B이하	2018	
5112	조광페인트	4910	B이하	C	B이하	B이하	2018	
5111	조광피혁	4700	B이하	B	B이하	B이하	2018	
5110	조비	1550	B이하	C	B이하	B이하	2018	
5109	조선내화	480	B이하	D	B+	B이하	2018	
5108	조선선재	120030	B이하	B	B이하	B이하	2018	
5107	조일알미늄	18470	B이하	C	B이하	B+	2018	
5106	조흥	2600	B이하	B	B이하	B이하	2018	
5105	종근당	185750	B이하	C	B+	B이하	2018	
5104	종근당바이오	63160	B이하	B	B이하	B이하	2018	
5103	종근당홀딩스	1630	B이하	C	B+	B이하	2018	
5102	주연테크	44380	B이하	C	B이하	B이하	2018	
5101	지엠비코리아	13870	B이하	B	B이하	B이하	2018	
5100	지역난방공사	71320	A	B+	A	A	2018	
5099	지코	10580	B이하	C	B이하	B이하	2018	
5098	지투알	35000	B이하	B	B+	B이하	2018	
5097	진도	88790	B이하	C	B이하	B이하	2018	
5096	진양산업	3780	B이하	B	B이하	B이하	2018	
5095	진양폴리우레탄	10640	B이하	C	B이하	B이하	2018	
5094	진양홀딩스	100250	B이하	B	B이하	B이하	2018	
5093	진양화학	51630	B이하	C	B이하	B이하	2018	
5092	진원생명과학	11000	B이하	C	B이하	B이하	2018	
5091	진흥기업	2780	B이하	C	B이하	B이하	2018	
5090	참엔지니어링	9310	B이하	B	B이하	B이하	2018	
5089	천일고속	650	B이하	B+	B이하	B이하	2018	
5088	청호컴넷	12600	B이하	D	B이하	B이하	2018	
5087	체시스	33250	B이하	C	B이하	B이하	2018	
5086	카카오	35720	B이하	B+	B이하	B이하	2018	
5085	카프로	6380	B이하	B	B이하	B이하	2018	
5084	컨버즈	109070	B이하	C	B이하	B이하	2018	
5083	케이디비생명보험	807958		B+이하			2018	금융회사
5082	케이뱅크은행	800172		A			2018	금융회사
5081	케이비국민카드	861717		A			2018	금융회사
5080	케이비생명보험	805087		A			2018	금융회사
5079	케이씨	29460	B이하	B	B+	B이하	2018	
5078	케이씨씨	2380	B이하	C	B+	B+	2018	
5077	케이씨티시	9070	B이하	C	B+	B이하	2018	
5076	케이티	30200	A	A	B+	A	2018	
5075	케이티스	58860	B이하	B+	B이하	B이하	2018	
5074	케이티스카이라이프	53210	B이하	B	B이하	B이하	2018	
5073	케이티앤지	33780	A+	A+	A+	B+	2018	
5072	코리아써키트	7810	B이하	C	B+	B+	2018	
5071	코리아오토글라스	152330	B이하	B	B이하	B+	2018	
5070	코리안리	3690	B+	A	B이하	B이하	2018	금융회사
5069	코스맥스	192820	B이하	B	B이하	B이하	2018	
5068	코스맥스비티아이	44820	B이하	B	B이하	B이하	2018	
5067	코스모신소재	5070	B+	B+	B이하	B+	2018	
5066	코스모화학	5420	B이하	B	B이하	B+	2018	
5065	코아스	71950	B이하	B	B이하	B이하	2018	
5064	코오롱	2020	B이하	B	B이하	B이하	2018	
5063	코오롱글로벌	3070	B이하	B+	B이하	B이하	2018	
5062	코오롱머티리얼	144620	B이하	B	B이하	B이하	2018	
5061	코오롱인더	120110	B+	B	B+	B+	2018	
5060	코오롱플라스틱	138490	B이하	B	B이하	B+	2018	
5059	코웨이	21240	B+	B	A+	A+	2018	
5058	콤텍시스템	31820	B이하	C	B이하	B이하	2018	
5057	쿠쿠홀딩스	192400		B			2018	
5056	큐로	15590	B이하	B	B이하	B이하	2018	
5055	크라운해태홀딩스	5740	B이하	B	B+	B이하	2018	
5054	키다리스튜디오	20120	B이하	B	B이하	B이하	2018	
5053	키움증권	39490	B이하	C	B이하	B이하	2018	금융회사
5052	키위미디어그룹	12170	B이하	D	B이하	B이하	2018	
5051	태경산업	15890	B이하	C	B이하	B이하	2018	
5050	태경화학	6890	B이하	C	B이하	B이하	2018	
5049	태광산업	3240	B이하	C	B이하	B이하	2018	
5048	태림포장	11280	B이하	C	B이하	B이하	2018	
5047	태양금속공업	4100	B이하	C	B이하	B+	2018	
5046	태영건설	9410	B이하	B+	B이하	B이하	2018	
5045	태원물산	1420	B이하	B	B이하	B이하	2018	
5044	태평양물산	7980	B이하	B	B+	B이하	2018	
5043	텔코웨어	78000	B이하	B	B이하	B이하	2018	
5042	토니모리	214420	B이하	B+	B이하	B이하	2018	
5041	티비에이치글로벌	84870	B이하	B	B이하	B이하	2018	
5040	티에이치엔	19180	B이하	B	B이하	B이하	2018	
5039	티웨이홀딩스	4870	B이하	C	B이하	B이하	2018	
5038	파미셀	5690	B이하	B	B이하	B이하	2018	
5037	팜스코	36580	B이하	B	B이하	B이하	2018	
5036	팬오션	28670	B+	B+	B이하	B이하	2018	
5035	퍼스텍	10820	B이하	B	B이하	B이하	2018	
5034	퍼시스	16800	B이하	B	B이하	B이하	2018	
5033	페이퍼코리아	1020	B이하	C	B이하	B이하	2018	
5032	평화산업	90080	B이하	B	B이하	B+	2018	
5031	평화홀딩스	10770	B이하	B	B이하	B이하	2018	
5030	포스코	5490	A	A+	A	A	2018	
5029	포스코강판	58430	B+	B+	A	B+	2018	
5028	포스코대우	47050	A	B+	A+	A	2018	
5027	폴루스바이오팜	7630	B이하	B	B이하	B이하	2018	
5026	푸르덴셜생명보험	839185		B+이하			2018	금융회사
5025	푸본현대생명보험	860086		B+이하			2018	금융회사
5024	풀무원	17810	A+	A+	A	A	2018	
5023	풍산	103140	B+	B	B+	B+	2018	
5022	풍산홀딩스	5810	B+	B+	B+	B이하	2018	
5021	필룩스	33180	B이하	C	B이하	B이하	2018	
5020	하나금융지주	86790	A+	A+	A	A	2018	금융회사
5019	하나금융투자	805992		B+이하			2018	금융회사
5018	하나카드	856659		A			2018	금융회사
5017	하나투어	39130	B이하	B	B이하	B이하	2018	
5016	하이스틸	71090	B이하	B	B이하	B이하	2018	
5015	하이투자증권	814270		B+이하			2018	금융회사
5014	하이트론씨스템즈	19490	B이하	B	B이하	B이하	2018	
5013	하이트진로	80	B이하	D	B이하	B+	2018	
5012	하이트진로홀딩스	140	B이하	B	B이하	B이하	2018	
5011	한국가스공사	36460	B+	B+	A	B+	2018	
5010	한국공항	5430	B이하	C	B이하	B이하	2018	
5009	한국금융지주	71050	B이하	B+	B+	B이하	2018	금융회사
5008	한국내화	10040	B이하	D	B이하	B이하	2018	
5007	한국단자공업	25540	B이하	B	B이하	B이하	2018	
5006	한국석유공업	4090	B이하	C	B이하	B이하	2018	
5005	한국수출포장공업	2200	B이하	B	B이하	B+	2018	
5004	한국쉘석유	2960	B이하	B+	B이하	B이하	2018	
5003	한국유리공업	2000	B이하	C	B이하	B+	2018	
5002	한국자산신탁	123890	B이하	B	B이하	B이하	2018	금융회사
5001	한국전력공사	15760	B+	B+	B+	A	2018	
5000	한국전자홀딩스	6200	B이하	C	B이하	B이하	2018	
4999	한국제지	2300	B+	B	B+	B+	2018	
4998	한국종합기술	23350	B이하	B	B이하	B+	2018	
4997	한국주강	25890	B이하	C	B이하	B이하	2018	
4996	한국주철관공업	970	B이하	D	B이하	B이하	2018	
4995	한국철강	104700	B이하	B	B이하	B+	2018	
4994	한국카본	17960	B이하	B	B이하	B이하	2018	
4993	한국카카오은행	800197		B+이하			2018	금융회사
4992	한국콜마	161890	B이하	D	B+	B+	2018	
4991	한국콜마홀딩스	24720	B이하	C	B이하	B이하	2018	
4990	한국타이어	161390	B+	B	A+	A	2018	
4989	한국타이어월드와이드	240	B이하	C	A	B이하	2018	
4988	한국토지신탁	34830	B이하	C	B이하	B이하	2018	금융회사
4987	한국투자증권	804504		B+이하			2018	금융회사
4986	한국프랜지공업	10100	B이하	C	B이하	B+	2018	
4985	한국항공우주	47810	A	B+	A+	B+	2018	
4984	한국화장품	123690	B이하	B	B이하	B이하	2018	
4983	한국화장품제조	3350	B이하	C	B이하	B이하	2018	
4982	한농화성	11500	B이하	B	B이하	B이하	2018	
4981	한독	2390	B+	B+	B+	B+	2018	
4980	한라	14790	B이하	B	B+	B이하	2018	
4979	한라홀딩스	60980	B+	B+	A	B이하	2018	
4978	한미글로벌	53690	B이하	B	B+	B+	2018	
4977	한미반도체	42700	B이하	B	B이하	B이하	2018	
4976	한미사이언스	8930	B이하	C	B+	B이하	2018	
4975	한미약품	128940	B+	B	A	B+	2018	
4974	한샘	9240	B이하	B	B이하	B이하	2018	
4973	한섬	20000	B이하	B+	B+	B이하	2018	
4972	한성기업	3680	B이하	C	B이하	B이하	2018	
4971	한세실업	105630	B이하	B	B이하	B이하	2018	
4970	한세엠케이	69640	B이하	B+	B이하	B이하	2018	
4969	한세예스24홀딩스	16450	B이하	C	B이하	B이하	2018	
4968	한솔로지스틱스	9180	B이하	B	B+	B이하	2018	
4967	한솔제지	213500	A	A	A	A	2018	
4966	한솔케미칼	14680	B+	B+	B+	B+	2018	
4965	한솔테크닉스	4710	B+	B	B+	B+	2018	
4964	한솔피엔에스	10420	B이하	C	B이하	B이하	2018	
4963	한솔홀딩스	4150	B+	B+	B+	B이하	2018	
4962	한솔홈데코	25750	B+	B+	B+	B+	2018	
4961	한신공영	4960	B이하	B	B+	B이하	2018	
4960	한신기계공업	11700	B이하	B	B이하	B이하	2018	
4959	한양증권	1750	B이하	C	B+	B이하	2018	금융회사
4958	한온시스템	18880	B+	B+	B+	B+	2018	
4957	한올바이오파마	9420	B이하	B	B이하	B이하	2018	
4956	한익스프레스	14130	B이하	B	B이하	B이하	2018	
4955	한일시멘트	3300		D			2018	
4954	한일철강	2220	B이하	C	B이하	B이하	2018	
4953	한일현대시멘트	6390	B이하	C	B+	B+	2018	
4952	한전KPS	51600	B+	B+	A	B+	2018	
4951	한전기술	52690	B+	B	A	A	2018	
4950	한전산업	130660	B이하	D	B이하	B+	2018	
4949	한진	2320	B이하	B	B+	B이하	2018	
4948	한진중공업	97230	B이하	C	B이하	B+	2018	
4947	한진중공업홀딩스	3480	B이하	B+	B이하	B이하	2018	
4946	한진칼	180640	B이하	C	B이하	B이하	2018	
4945	한창	5110	B이하	C	B이하	B이하	2018	
4944	한창제지	9460	B이하	C	B이하	B이하	2018	
4943	한화	880	A	A	B+	B+	2018	
4942	한화갤러리아타임월드	27390	B이하	C	B+	B+	2018	
4941	한화생명	88350	B+	B+이하	B+	B+	2018	금융회사
4940	한화손해보험	370	B이하	B+	B+	B이하	2018	금융회사
4939	한화에어로스페이스	12450	B+	B	B이하	A	2018	
4938	한화케미칼	9830	B+	B+	A	B이하	2018	
4937	한화투자증권	3530	B이하	B	B이하	B이하	2018	금융회사
4936	해성디에스	195870	A	B+	A+	A	2018	
4935	해태제과식품	101530	B이하	B	B+	B이하	2018	
4934	핸즈코퍼레이션	143210	B이하	B	B이하	B+	2018	
4933	현대건설	720	A	B+	A	A	2018	
4932	현대그린푸드	5440	B+	B+	B이하	B이하	2018	
4931	현대글로비스	86280	B+	B+	A	B+	2018	
4930	현대로템	64350	B+	B+	B+	B+	2018	
4929	현대리바트	79430	B+	B+	B+	B이하	2018	
4928	현대모비스	12330	B+	B	A	A	2018	
4927	현대미포조선	10620	B+	B+	B+	B+	2018	
4926	현대백화점	69960	B이하	B+	B+	B이하	2018	
4925	현대비앤지스틸	4560	B이하	C	B+	B+	2018	
4924	현대상선	11200	B+	B	B+	B+	2018	
4923	현대약품	4310	B이하	B	B+	B이하	2018	
4922	현대에이치씨엔	126560	B+	B+	B+	B이하	2018	
4921	현대엘리베이터	17800	A	B+	A	A	2018	
4920	현대위아	11210	B+	B+	B이하	B+	2018	
4919	현대자동차	5380	B+	B	B+	A	2018	
4918	현대제철	4020	B이하	C	B+	B+	2018	
4917	현대종합상사	11760	B이하	C	B이하	B이하	2018	
4916	현대중공업	9540	B+	B+	B+	A	2018	
4915	현대차증권	1500	B이하	C	B이하	B이하	2018	금융회사
4914	현대카드	815419		A			2018	금융회사
4913	현대코퍼레이션홀딩스	227840	B이하	B	B이하	B이하	2018	
4912	현대해상	1450	A	A	A+	A	2018	금융회사
4911	현대홈쇼핑	57050	B+	A	B+	B이하	2018	
4910	형지엘리트	93240	B이하	C	B이하	B이하	2018	
4909	혜인	3010	B이하	C	B이하	B이하	2018	
4908	호텔신라	8770	A	A	A	B+	2018	
4907	화성산업	2460	B이하	B+	B이하	B이하	2018	
4906	화승알앤에이	13520	B+	B	B+	B+	2018	
4905	화승엔터프라이즈	241590	B이하	B	B이하	B이하	2018	
4904	화승인더스트리	6060	B이하	D	B이하	B+	2018	
4903	화신	10690	B이하	C	B이하	B이하	2018	
4902	화인베스틸	133820	B이하	B	B이하	B+	2018	
4901	화천기계	10660	B이하	C	B이하	B이하	2018	
4900	화천기공	850	B이하	B	B이하	B이하	2018	
